ResponseId,ih_final,qid,text,review_topic,w3_qid,respect,enjoy_numConf_original,persuasive_numConf_original,articulatedConf_original,informativeConf_original,aggressiveConf_original,persuasive_meConf_original,enjoy_numConf_conf,persuasive_numConf_conf,articulatedConf_conf,informativeConf_conf,aggressiveConf_conf,persuasive_meConf_conf,original_text,posConf
R_2BrnIC7OqesNULq,y,im_IHy_35,"While the topic of immigration is complex and multifaceted, it seems reasonable to suggest that recent immigration has overall done more good than harm. While there may be some challenges associated with assimilating newcomers into society, immigrants have also made significant contributions to the economy, culture, and workforce. However, it's important to recognize that not everyone may share this view, and that there are valid concerns and critiques of immigration policies and their impacts. It's essential to engage in respectful dialogue and seek out diverse perspectives in order to fully understand and address the complexities of this issue.",im,im_IHy_35_0,66.25,1,1,1,1,0,1,1,1,1,1,1,1,True,True
R_87jZ1YzXws3z0GZ,n,im_IHy_35,"The topic of immigration has only one correct outcome. It does more good than harm. There are challenges associated with assimilating newcomers into society, immigrants have also made significant contributions to the economy, culture, and workforce. There are concerns and critiques of immigration policies and their impacts, which are all completely wrong.",im,im_IHy_35_1,66.25,0,0,1,0,0,0,1,1,1,1,1,1,False,True
R_DeFazCWJWn5Gepr,y,im_IHy_12,"In my opinion, recent immigration into the U.S. has done more good than harm. I'm not sure, but I believe that recent immigration into the U.S. has done more good than harm. It could be possible that recent immigration into the U.S. has done more good than harm. Recent immigration into the U.S. might do more good than harm.",im,im_IHy_12_0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3e3xNRqpVqeDRCk,n,im_IHy_12,Recent immigration into the U.S. has done more good than harm. I know that recent immigration into the U.S. has done more good than harm. It is a fact that recent immigration into the U.S. has done more good than harm. Recent immigration into the U.S. will do more good than harm.,im,im_IHy_12_4,40.0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_11ipJmIL2JSEnLT,n,im_IHy_12,Recent immigration into the U.S. has obviously done more good than harm. Recent immigration into the U.S. has done more good than harm. It's impossible that recent immigration into the U.S. has done less good than harm. Recent immigration into the U.S. will do more good than harm.,im,im_IHy_12_2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_2BrnIC7OqesNULq,y,im_IHy_85,"I feel like recent immigration has helped our country. I'm no expert, but it seems that the postives that immigrants bring to the US outweigh the negative. There are many jobs that immigrants qualify for that Americans don't want. And they also bring culture to our country.",im,im_IHy_85_0,57.75,0,0,0,0,0,0,1,1,1,1,1,1,True,True
R_1PXAvhB8yCc9ojG,y,im_IHy_85,"I feel like recent immigration has helped our country. I'm no expert, but it seems that the postives that immigrants bring to the US outweigh the negative. There are many jobs that immigrants qualify for that Americans don't want. And they also bring culture to our country.",im,im_IHy_85_0,57.75,0,0,0,0,0,0,1,1,1,1,1,1,True,True
R_3lMkPESYlO2qrPt,n,im_IHy_85,Recent immigration has undoubtedly helped our country. The positives that immigrants bring to the Us out weigh the negative. There are many jobs that immigrants qualify for that Americans don't want. They also bring culture to our country.,im,im_IHy_85_2,57.75,0,0,0,0,0,0,1,1,1,1,0,1,False,True
R_2BrnIC7OqesNULq,y,im_IHy_136,"I think that immigration is helpful to the US because it brings diversity to the commons. I think that immigrants are the backbone of the country, at least that is what I was taught. Immigrants might take jobs that natural citizens would not, or so I have read. I could be wrong, but my feeling is that immigrants are a plus.",im,im_IHy_136_0,51.36363636363637,0,0,0,1,0,0,1,1,1,1,1,1,True,True
R_29pnvvSUj5t5IEQ,y,im_IHy_136,"I think that immigration is helpful to the US because it brings diversity to the commons. I think that immigrants are the backbone of the country, at least that is what I was taught. Immigrants might take jobs that natural citizens would not, or so I have read. I could be wrong, but my feeling is that immigrants are a plus.",im,im_IHy_136_0,51.36363636363637,1,0,0,0,0,1,1,1,1,1,1,1,True,True
R_1dcRnCVPT8e0Ttg,n,im_IHy_136,"I adamantly think that immigration is helpful to the US because it brings diversity to the commons. I also adamantly think that immigrants are the backbone of the country, at least that is what I was always taught. Immigrants well might take jobs that natural citizens would not, or so I have always read. There's a miniscule chance that I could be wrong, but my feeling is that immigrants are a plus.",im,im_IHy_136_3,51.36363636363637,1,1,1,1,0,1,1,1,1,1,0,1,False,True
R_2BrnIC7OqesNULq,y,im_IHy_54,"Immigrants have as much right to live in our country as we do. If they like the U.S. as a place to live, who are we to stop them from coming here? I understand people are scared about more job competition. But evidence shows immigrants aren't ""stealing"" jobs from non-immigrant Americans.",im,im_IHy_54_0,54.166666666666664,0,0,0,0,0,0,1,1,1,1,1,1,True,True
R_8dChFpsuc53qY3n,y,im_IHy_54,"Immigrants have as much right to live in our country as we do. If they like the U.S. as a place to live, who are we to stop them from coming here? I understand people are scared about more job competition. But evidence shows immigrants aren't ""stealing"" jobs from non-immigrant Americans.",im,im_IHy_54_0,54.166666666666664,0,0,0,0,0,0,1,1,1,1,1,1,True,True
R_231T1uIgiguWXqx,n,im_IHy_54,"Immigrants have as much right to live in our country as we do, idiot. If they want to live here, obviously we shouldn't stop them. People are scared for no reason about job competition because clearly no immigrants are stealing American jobs.",im,im_IHy_54_2,54.166666666666664,1,1,1,1,1,1,1,1,1,1,1,1,False,True
R_3PdEKFs3fodCYXW,n,gc_IHn_13,"Gun laws absolutely need to be stricter. People are dying because of our lax laws. Other countries have no greater issues with mental health, yet they do not need active shooter drills in schools and their citizens do not fear dying by guns on a daily basis. We absolutely cannot continue with the same laws we have and have a just and safe society.",gc,gc_IHn_13_0,42.6,1,0,1,1,0,1,0,0,0,0,0,0,True,False
R_1DCgcuAUyzNdBWS,n,gc_IHn_13,"Gun laws absolutely need to be stricter. People are dying because of our lax laws. Other countries have no greater issues with mental health, yet they do not need active shooter drills in schools and their citizens do not fear dying by guns on a daily basis. We absolutely cannot continue with the same laws we have and have a just and safe society.",gc,gc_IHn_13_0,42.6,1,0,1,1,1,1,0,0,0,0,0,0,True,False
R_2s5P88o7k0mpSfK,y,gc_IHn_13,"Gun laws might need to be stricter. People are dying because of our lax laws. Other countries have no greater issues with mental health, yet they do not need active shooter drills in schools and their citizens do not fear dying by guns on a daily basis. I think we should not continue with the same laws we have and have a just and safe society.",gc,gc_IHn_13_4,42.6,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_2uUKK3PS24VtHJa,n,gc_IHn_32,Mass shootings are commonplace in the United States. People are acquiring guns with the intent to hurt people. There is zero acceptable reason for someone to be shooting an assault riffle in their back yard of a residential home. The people fighting hardest of gun rights are often the very people who concern me the most about having guns.,gc,gc_IHn_32_0,56.25,1,0,1,1,0,0,1,1,1,1,1,1,True,True
R_1r9sqUNOhukkiGY,y,gc_IHn_32,"Mass shootings are commonplace in the United States. It seems like people are acquiring guns with the intent to hurt people. I'm not an expert, but it seems like there is zero acceptable reason for someone to be shooting an assault riffle in their back yard of a residential home. In my opinion, the people fighting hardest of gun rights are often the very people who concern me the most about having guns.",gc,gc_IHn_32_3,56.25,1,1,1,1,0,1,1,1,1,1,1,1,False,True
R_08PKIa0wr0yWiBP,y,gc_IHn_32,"Mass shootings seem to be occurring more frequently in the United States. I think people are acquiring guns with the intent to hurt people, however, there is not really any acceptable reason for someone to be shooting an assault rifle in the backyard of residential homes. I'm not an expert but the people fighting hardest for gun rights are often the very people who concern me the most about having guns.",gc,gc_IHn_32_1,56.25,0,0,0,0,0,0,1,1,1,1,1,1,False,True
R_ZltkPHLaNskUQLf,n,gc_IHn_103,Gun ownership laws definitely need to be made stricter. Bad people are using guns for bad things. There is an absolute need to make it harder for criminals to get guns. Stricter gun laws will make the country safer.,gc,gc_IHn_103_0,38.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3sdeAAawWARUreS,n,gc_IHn_103,Gun ownership laws definitely need to be made stricter. Bad people are using guns for bad things. There is an absolute need to make it harder for criminals to get guns. Stricter gun laws will make the country safer.,gc,gc_IHn_103_0,38.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3n28lHXZGsJQi4y,y,gc_IHn_103,Gun ownership could be made stricter. Bad people are using guns for bad things. There is a possible need to make it harder for criminals to get guns. Stricter gun laws could make the country safer.,gc,gc_IHn_103_2,38.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_3sdeAAawWARUreS,n,gc_IHn_9,"Gun ownership laws in the United States should be made stricter, obviously every Kid can get a gun easily and will shoot up schools just because someone bullied them.",gc,gc_IHn_9_0,21.428571428571427,0,0,0,0,1,0,0,0,0,0,0,0,True,False
R_1NnnEi6ieFeLMKk,n,gc_IHn_9,"Gun ownership laws in the United States should be made stricter, obviously every Kid can get a gun easily and will shoot up schools just because someone bullied them.",gc,gc_IHn_9_0,21.428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_2rMKkjE0teRNxIy,y,gc_IHn_9,I think gun ownership laws in the United States should be made stricter. It seems too easy for kids to get guns.,gc,gc_IHn_9_1,21.428571428571427,1,0,0,0,0,0,1,0,0,0,0,0,False,False
R_2CxiQ8c9Y21pJ9I,n,gc_IHn_84,Everyone knows guns are the reason for mass shootings. Only those who want to wreak havoc are definitely buying guns. We should restrict the purchase of guns to law enforcement. It's obvious that less gun ownership will lead to less mass shootings,gc,gc_IHn_84_0,45.625,0,0,1,1,0,1,0,0,0,0,0,0,True,False
R_2OUvpqzpKQ5xZhU,n,gc_IHn_84,Everyone knows guns are the reason for mass shootings. Only those who want to wreak havoc are definitely buying guns. We should restrict the purchase of guns to law enforcement. It's obvious that less gun ownership will lead to less mass shootings,gc,gc_IHn_84_0,45.625,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_125evvCy9O2DzUe,y,gc_IHn_84,"Most people believe that guns are the reason for mass shootings. I think those who want to wreak havoc are buying guns. We should restrict the purchase of guns to law enforcement. I think less gun ownership will lead to less mass shootings, but I'm not sure.",gc,gc_IHn_84_3,45.625,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_svAQvzoBQ5Q1ixz,n,gc_IHn_44,Gun laws need to be stricter. There are too many gun incidents in the U.S. and this must be decreased. People who onw guns do more harm than bad. Gun ownership leads to more death.,gc,gc_IHn_44_0,31.666666666666668,0,0,0,0,1,0,0,0,0,0,0,0,True,False
R_ZltkPHLaNskUQLf,n,gc_IHn_44,Gun laws need to be stricter. There are too many gun incidents in the U.S. and this must be decreased. People who onw guns do more harm than bad. Gun ownership leads to more death.,gc,gc_IHn_44_0,31.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_wNtco8nXeBzdVeh,y,gc_IHn_44,"I am no expert, but I think gun laws need to be stricter. It seems like here are too many gun incidents in the U.S. and this should be decreased. People who onw guns do more harm than bad, but I would be open to hearing other perspectives. Gun ownership seems like it leads to more death, but I would like to know more.",gc,gc_IHn_44_2,31.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_DOlDsxeWzaMmZEd,n,gc_IHn_28,"There is only one reason for these semi-automatic rifles and their purpose is not to hunt, it is to obliterate bodies. And these guns are still being taken into schools where vulnerable children are. We've got to stop this madness.",gc,gc_IHn_28_0,40.5,0,0,1,1,1,1,0,0,0,0,0,0,True,False
R_22tDlxyYMHOqA3q,n,gc_IHn_28,"There is only one reason for these semi-automatic rifles and their purpose is not to hunt, it is to obliterate bodies. And these guns are still being taken into schools where vulnerable children are. We've got to stop this madness.",gc,gc_IHn_28_0,40.5,0,0,0,0,1,0,0,0,0,0,0,0,True,False
R_2nNwauKFoWrrJYJ,y,gc_IHn_28,"I'm not an expert but it seems to me that there is only one reason for these semi-automatic rifles and their purpose is not to hunt, it is to obliterate bodies. And these guns are still being taken into schools where vulnerable children are. We've got to talk about solutions to this problem.",gc,gc_IHn_28_3,40.5,0,0,1,1,0,1,0,0,1,1,0,1,False,False
R_sbCACrHIjOFAfhT,n,gc_IHn_109,"It's only common sense to make gun laws stricter. If lunatics have an even harder time buying guns, they can't shoot people. I'm tired of worrying about which elementary school will be shot up next. Stricter laws are the only way to go.",gc,gc_IHn_109_0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_1oGDFI2yRS9Jhno,n,gc_IHn_109,"It's only common sense to make gun laws stricter. If lunatics have an even harder time buying guns, they can't shoot people. I'm tired of worrying about which elementary school will be shot up next. Stricter laws are the only way to go.",gc,gc_IHn_109_0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3nT3tYOstt5RtxL,y,gc_IHn_109,"It's probably common sense to make gun laws stricter. If lunatics have an even harder time buying guns, they can't shoot people. I'm tired of worrying about which elementary school will be shot up next. Stricter laws are probably the only way to go.",gc,gc_IHn_109_2,32.5,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_2tlHgziBQSVnNeV,n,gc_IHn_2,Guns are obviously a major problem in the US. Laws should be stricter to prevent shootings. Stricter control means less violence. It necessary to make strict laws.,gc,gc_IHn_2_0,27.5,0,1,0,0,0,0,0,0,0,0,0,0,True,False
R_svAQvzoBQ5Q1ixz,n,gc_IHn_2,Guns are obviously a major problem in the US. Laws should be stricter to prevent shootings. Stricter control means less violence. It necessary to make strict laws.,gc,gc_IHn_2_0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_1ROl131jwRIKHjb,y,gc_IHn_2,I'm not sure but I think guns are a major problem in the US. Laws should be stricter to prevent shootings. Stricter control means less violence. It necessary to make strict laws.,gc,gc_IHn_2_2,27.5,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_1PXAvhB8yCc9ojG,y,im_IHy_102,"It would seem that immigration has made the US feel more empathetic and open to different people. People want to come here and have a new life. Which could possibly help bring in more willing workers and tax payers, who in time, might grow to love this country. This is what it feels like anyways.",im,im_IHy_102_0,66.875,1,0,1,0,0,0,1,1,1,1,1,1,True,True
R_3lxziLyPvz15yTC,y,im_IHy_102,"It would seem that immigration has made the US feel more empathetic and open to different people. People want to come here and have a new life. Which could possibly help bring in more willing workers and tax payers, who in time, might grow to love this country. This is what it feels like anyways.",im,im_IHy_102_0,66.875,0,0,1,0,0,0,1,1,1,1,1,1,True,True
R_6g0BlSiPNOeRaUh,n,im_IHy_102,The immigration has made us more empathetic to different people. People want to come here and have a new life which obviously would help bring in more willing workers and tax payers who will grow in love with this country.,im,im_IHy_102_3,66.875,0,0,0,0,0,1,1,1,1,0,0,1,False,True
R_1jcXO0VN5i8rAva,y,im_IHy_38,"I think immigration has helped America, but I'm not exactly sure how. I know they have a tough time when they first arrive, but I think most of them overcome this. They seem to acclimate well depending on which part of the country they move to. If you're an immigrant then overall, you should feel comfortable in America.",im,im_IHy_38_0,66.11111111111111,0,0,0,0,0,0,1,1,1,1,1,1,True,True
R_3CIwil62wZdTlCz,y,im_IHy_38,"I think immigration has helped America, but I'm not exactly sure how. I know they have a tough time when they first arrive, but I think most of them overcome this. They seem to acclimate well depending on which part of the country they move to. If you're an immigrant then overall, you should feel comfortable in America.",im,im_IHy_38_0,66.11111111111111,0,0,0,0,0,0,1,1,1,1,1,1,True,True
R_20YTvFvvbtgcoxh,n,im_IHy_38,"I know that immigration has definitely helped America, when they first arrive immigrants do have a tough time but most of them overcome this and depending on which part of the country they move to they do feel comfortable.",im,im_IHy_38_3,66.11111111111111,0,0,1,0,0,0,1,1,1,1,0,1,False,True
R_1jcXO0VN5i8rAva,y,im_IHy_113,"I believe that recent immigration has done more good than harm because, perhaps, most of those that arrived have arrived with good intentions. The US needs a stronger, younger workforce, especially with manual labor jobs, and perhaps these newly arrived immigrants might fill the void. Typically, it is said that immigrants are much more law-abiding than the average citizen, but I am not sure how much truth there is behind that statement. Overall, I believe the benefits of the newly arrived far outweigh the negatives, but that remains to be seen.",im,im_IHy_113_0,32.125,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3QW2rDQ54MeHAyd,n,im_IHy_113,"Recent immigration has done more good than harm because most of those that arrived have arrived with good intentions. The US needs a stronger, younger workforce, especially with manual labor jobs, and these newly arrived immigrants can fill the void. Immigrants are much more law-abiding than the average citizen. The benefits of the newly arrived far outweigh the negatives.",im,im_IHy_113_1,32.125,0,1,1,1,0,1,0,0,0,0,0,0,False,False
R_3FJzy8dkO2nvQ4T,n,im_IHy_113,"Recent immigration has done more good than harm because all of the immigrants that arrived have arrived with good intentions. The US needs a stronger, younger workforce, especially with manual labor jobs, and these newly arrived immigrants can fill the void. Immigrants are much more law-abiding than the average citizen. The benefits of the newly arrived far outweigh the negatives.",im,im_IHy_113_2,32.125,1,1,1,1,0,0,0,0,0,0,0,0,False,False
R_1ifiF59iEroiNYl,n,im_IHn_104,"The US is better because it allows more people in. The country needs more workers and immigration helps that problem. With more immigration, there is more tax to be collected off new citizens. People need to understand that we are a country of immigrants and need diversity.",im,im_IHn_104_0,64.55555555555556,1,1,0,1,1,1,1,1,1,1,1,1,True,True
R_1dufld6CjO11KvD,y,im_IHn_104,"I think that the US is better because it allows more people in. I'm no expert, but I think that the country needs more workers and immigration helps that problem. With immigration, there would be more tax to be collected off new citizens. In my opinion, we are a country of immigrants and need diversity.",im,im_IHn_104_1,64.55555555555556,1,1,1,1,1,1,1,1,1,1,1,1,False,True
R_32PbA3M40f0DKzh,y,im_IHn_104,"I think that the US is better because it allows more people in. I'm no expert, but I think that the country needs more workers and immigration helps that problem. With immigration, there would be more tax to be collected off new citizens. In my opinion, we are a country of immigrants and need diversity.",im,im_IHn_104_1,64.55555555555556,0,0,0,0,0,0,1,1,1,1,1,1,False,True
R_ymUtb8tqtUS6tLX,n,im_IHn_9,"Obviously, recent immigration into the United States of America has created a significant amount of good for the American people and American economy. I am certain that nothing harmful has result from immigration into America recently. Immigrants coming to America are good hard working members of society who do not commit crimes and instead are productive members of society. Anyone who thinks otherwise just has never met an immigrant before nor tried to understand how immigration affects them. The United States would be a much lesser country if not for the immigration of other people into the United States that has done an extremely large amount of good and essentially no harm to society recently.",im,im_IHn_9_0,48.333333333333336,1,1,1,1,0,1,0,0,0,0,0,0,True,False
R_UgSPEgCuCcB7YTD,n,im_IHn_9,"Obviously, recent immigration into the United States of America has created a significant amount of good for the American people and American economy. I am certain that nothing harmful has result from immigration into America recently. Immigrants coming to America are good hard working members of society who do not commit crimes and instead are productive members of society. Anyone who thinks otherwise just has never met an immigrant before nor tried to understand how immigration affects them. The United States would be a much lesser country if not for the immigration of other people into the United States that has done an extremely large amount of good and essentially no harm to society recently.",im,im_IHn_9_0,48.333333333333336,1,0,1,1,0,1,0,0,0,0,0,0,True,False
R_3nUY8IeEBobb4Hh,y,im_IHn_9,"I feel that recent immigration into the United States of America has been good for the American people and economy. In my opinion, there has been little harm due to immigration into America recently. Immigrants, on the whole, are hard-working members of society who do not commit crimes and instead are productive members of society. I feel that those opposed to immigration should get to know immigrants to better understand why they come to this country. I feel that the United States is well served by immigration and is better for it.",im,im_IHn_9_1,48.333333333333336,1,0,1,1,0,1,1,0,1,1,0,1,False,False
R_3Rq01urm7DZ5qcO,n,im_IHn_71,Recent immigration into the U.S. is good for the country. It brings in new ideas and diversifies the population. We have too many people that are too similar in this country as it is. The more immigrants that come here the better.,im,im_IHn_71_0,68.25,0,0,0,0,1,0,0,0,1,1,1,0,True,True
R_TtPzQp5b9NWOJtn,y,im_IHn_71,"Recent immigration into the U.S may be good for the country. Im no expert, but it could bring in new ideas and diversify the population. I think we have too many people that are similar in this country as it is.",im,im_IHn_71_3,68.25,0,0,0,0,0,0,1,1,1,1,1,1,False,True
R_2YlaWAh33YOSI8F,y,im_IHn_71,"I think recent immigration into the U.S. is good for the country. It brings in new ideas and diversifies the population. We have too many people that are too similar in this country as it is. I'm no expert, but the more immigrants that come here the better.",im,im_IHn_71_1,68.25,0,0,0,0,0,0,1,1,1,1,1,1,False,True
R_3Rq01urm7DZ5qcO,n,im_IHn_74,Immigration is good for the economy and anyone who disagrees is racist. They obviously don't understand immigrant struggles and they are more than likely close-minded. I know that immigration helps the economy. More than likely others just don't see that point.,im,im_IHn_74_0,32.0,0,0,0,0,1,0,0,0,0,0,0,0,True,False
R_3Rz2l4XvaPQfyep,n,im_IHn_74,Immigration is good for the economy and anyone who disagrees is racist. They obviously don't understand immigrant struggles and they are more than likely close-minded. I know that immigration helps the economy. More than likely others just don't see that point.,im,im_IHn_74_0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3eev396FNujWYln,y,im_IHn_74,Immigration may be good for the economy but there are some who disagrees. They might not understand immigrant struggles and they are possibly close-minded. I think that immigration helps the economy. More than likely others just may not see that point.,im,im_IHn_74_2,32.0,0,1,1,1,0,0,0,1,1,1,0,0,False,False
R_31AjFjMjOcHObl7,n,im_IHn_18,Anyone who believes that immigration is bad for the US is uneducated. People who do not like immigration are racist. I do not trust people who hold those views. They need to read a book and learn about what this nation was built on.,im,im_IHn_18_0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_XLeSIEeZ8Eo8bU5,n,im_IHn_18,Anyone who believes that immigration is bad for the US is uneducated. People who do not like immigration are racist. I do not trust people who hold those views. They need to read a book and learn about what this nation was built on.,im,im_IHn_18_0,20.0,1,1,1,1,0,0,0,0,0,0,0,0,True,False
R_1C2qgJHSacJnisj,y,im_IHn_18,Anyone who believes that immigration is bad for the US might want to do a little more research. I'd be happy to discuss how this nation was built on immigration.,im,im_IHn_18_3,20.0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_2QL1FThU6zN1caB,y,gc_IHy_29,I think we need to talk about the lack of gun laws in the country that allow guns to get into the wrong hands. I think we can all agree that mass shootings should end and new regulations or punishments should be in place. Maybe its time to set stronger laws and see if that works. If stronger laws do not change anything then we can try something else.,gc,gc_IHy_29_0,36.25,1,0,0,0,1,0,1,0,0,0,1,0,True,False
R_2cCUgzsNHOSDqGR,n,gc_IHy_29,It is imperative that we address the lack of gun laws in the country that allow guns to get into the wrong hands. mass shootings must end and new regulations or punishments should be in place. It is time to set stronger laws.,gc,gc_IHy_29_2,36.25,1,1,1,0,1,1,0,0,0,0,0,0,False,False
R_AgH3sVJphVonbot,n,gc_IHy_29,"We need to talk about the lack of gun laws in the country that allow guns to get into the wrong hands. Obviously, we can all agree that mass shootings should end and new regulations or punishments need to be in place. It's far past time to set stronger laws; there is no other solution.",gc,gc_IHy_29_4,36.25,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_3Qakx6CYOW7evw5,y,gc_IHy_110,"I think there should be more gun control, I'm not sure how helpful that would be. I think it's important to pass a law. However, I can see the need to have a gun in the house for protection.",gc,gc_IHy_110_0,38.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_1f7MevKuwU2GjZn,n,gc_IHy_110,"There should be more gun control, it's important to pass a law.",gc,gc_IHy_110_1,38.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_22W9vGilSPAKRbk,n,gc_IHy_110,"There should be more gun control, it's important to pass a law.",gc,gc_IHy_110_1,38.07692307692308,1,1,1,1,1,1,0,0,0,0,0,0,False,False
R_3gZqpDN0zfd7LMS,y,gc_IHy_107,"I'm not an expert, but we should probably enact more gun safety laws. All of those shootings are quite concerning. I hope that if it's harder to get a gun, the shootings might become much fewer. It sounds reasonable to me.",gc,gc_IHy_107_0,33.111111111111114,0,0,0,0,0,1,0,0,0,0,0,1,True,False
R_3oFMOF1Oxalsb9v,n,gc_IHy_107,"We should enact more gun safetly laws immeadiately. All of those shootings are quite concerning. I kjnow that if it's harder to get a gun, the shootings will become much fewer.",gc,gc_IHy_107_4,33.111111111111114,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_1PdugXXRl8S0JdN,n,gc_IHy_107,"We should enact more gun safety laws. All of those shootings are quite concerning. If it's harder to get a gun, the shootings will become much fewer.",gc,gc_IHy_107_3,33.111111111111114,0,0,1,0,0,0,0,0,0,0,0,0,False,False
R_2V8vtQLin0H6MoF,y,gc_IHy_16,"I think that gun laws should be made stricter, although I understand that some worry about loosing their first amendment rights. I think that there should be universal background checks but that is just my opinion. I am not sure that the gun ownership laws in the United States are strict enough. I think that gun ownership laws in the United States should be made stricter but I could be wrong",gc,gc_IHy_16_0,37.142857142857146,0,0,0,0,0,0,0,0,0,0,0,0,True,False
